project,ma_sector,county,CO2e_per_million_dollars,total_extra_county
Green Line Expansion,"Gasoline Highway - Passenger Cars, Light Duty Vehicles, and Motorcycles",25017,91.18625879,
Green Line Expansion,Dust - Paved Road Dust,25017,0,
South Coast Rail: Phase 1,Locomotives,25005,-9.730331968,
South Coast Rail: Phase 1,"Gasoline Highway - Passenger Cars, Light Duty Vehicles, and Motorcycles",25005,165.9487058,
South Coast Rail: Phase 1,Dust - Paved Road Dust,25005,0,
North South Rail Link,Locomotives,25025,-77.52423231,
North South Rail Link,"Gasoline Highway - Passenger Cars, Light Duty Vehicles, and Motorcycles",25025,64.73540265,
North South Rail Link,Dust - Paved Road Dust,25025,0,
Ferry Expansion & Electrification,"Gasoline Highway - Passenger Cars, Light Duty Vehicles, and Motorcycles",25021,73.76407673,142.1979213
Ferry Expansion & Electrification,"Gasoline Highway - Passenger Cars, Light Duty Vehicles, and Motorcycles",25025,68.43384453,
Ferry Expansion & Electrification,Dust - Paved Road Dust,25021,0,
Ferry Expansion & Electrification,Dust - Paved Road Dust,25025,0,
East West Rail,Locomotives,25003,-5.040921293,-95.45467495
East West Rail,Locomotives,25015,-6.505913826,
East West Rail,Locomotives,25017,-42.89093832,
East West Rail,Locomotives,25025,-20.03760577,
East West Rail,Locomotives,25027,-20.97929573,
East West Rail,"Gasoline Highway - Passenger Cars, Light Duty Vehicles, and Motorcycles",25003,5.09863068,96.54745749
East West Rail,"Gasoline Highway - Passenger Cars, Light Duty Vehicles, and Motorcycles",25015,6.580394715,
East West Rail,"Gasoline Highway - Passenger Cars, Light Duty Vehicles, and Motorcycles",25017,43.38196161,
East West Rail,"Gasoline Highway - Passenger Cars, Light Duty Vehicles, and Motorcycles",25025,20.26699994,
East West Rail,"Gasoline Highway - Passenger Cars, Light Duty Vehicles, and Motorcycles",25027,21.21947054,
East West Rail,Dust - Paved Road Dust,25003,0,
East West Rail,Dust - Paved Road Dust,25015,0,
East West Rail,Dust - Paved Road Dust,25017,0,
East West Rail,Dust - Paved Road Dust,25025,0,
East West Rail,Dust - Paved Road Dust,25027,0,
Water Efficiency Programs,Coal,25001,17.72017455,
Water Efficiency Programs,Coal,25003,12.5822147,
Water Efficiency Programs,Coal,25007,45.99221344,
Water Efficiency Programs,Coal,25009,65.70645259,
Water Efficiency Programs,Coal,25013,93.03512353,
Water Efficiency Programs,Coal,25017,187.2685795,
Water Efficiency Programs,Coal,25021,304.6129928,
Water Efficiency Programs,Coal,25023,1.348184369,
Water Efficiency Programs,Coal,25027,219.3739895,
Water Efficiency Programs,Natural Gas,25001,139.2497746,
Water Efficiency Programs,Natural Gas,25003,98.8743399,
Water Efficiency Programs,Natural Gas,25007,361.4188641,
Water Efficiency Programs,Natural Gas,25009,516.3385209,
Water Efficiency Programs,Natural Gas,25013,731.0943778,
Water Efficiency Programs,Natural Gas,25017,1471.605566,
Water Efficiency Programs,Natural Gas,25021,2393.728712,
Water Efficiency Programs,Natural Gas,25023,10.59438602,
Water Efficiency Programs,Natural Gas,25027,1723.89829,
Water Efficiency Programs,Petroleum,25001,3.359720081,
Water Efficiency Programs,Petroleum,25003,2.385570146,
Water Efficiency Programs,Petroleum,25007,8.720058747,
Water Efficiency Programs,Petroleum,25009,12.45785066,
Water Efficiency Programs,Petroleum,25013,17.6393281,
Water Efficiency Programs,Petroleum,25017,35.50585834,
Water Efficiency Programs,Petroleum,25021,57.75419345,
Water Efficiency Programs,Petroleum,25023,0.2556138532,
Water Efficiency Programs,Petroleum,25027,41.59299875,
Residential Solar,Coal,25001,6.204420917,
Residential Solar,Coal,25003,3.801943737,
Residential Solar,Coal,25007,12.90086402,
Residential Solar,Coal,25009,19.35010672,
Residential Solar,Coal,25013,27.11421268,
Residential Solar,Coal,25017,47.5556869,
Residential Solar,Coal,25021,70.86751969,
Residential Solar,Coal,25023,0.4654790091,
Residential Solar,Coal,25027,54.90888233,
Residential Solar,Natural Gas,25001,48.75596525,
Residential Solar,Natural Gas,25003,29.87667007,
Residential Solar,Natural Gas,25007,101.3783698,
Residential Solar,Natural Gas,25009,152.0582088,
Residential Solar,Natural Gas,25013,213.0705877,
Residential Solar,Natural Gas,25017,373.7050483,
Residential Solar,Natural Gas,25021,556.8955384,
Residential Solar,Natural Gas,25023,3.657856018,
Residential Solar,Natural Gas,25027,431.4883846,
Residential Solar,Petroleum,25001,1.176349448,
Residential Solar,Petroleum,25003,0.7208431659,
Residential Solar,Petroleum,25007,2.445985609,
Residential Solar,Petroleum,25009,3.668752921,
Residential Solar,Petroleum,25013,5.140816451,
Residential Solar,Petroleum,25017,9.01649111,
Residential Solar,Petroleum,25021,13.4363817,
Residential Solar,Petroleum,25023,0.08825416307,
Residential Solar,Petroleum,25027,10.41064658,
Offshore Wind,Coal,25001,4.880106535,
Offshore Wind,Coal,25003,3.439324517,
Offshore Wind,Coal,25007,14.15693399,
Offshore Wind,Coal,25009,19.95568462,
Offshore Wind,Coal,25013,28.75918883,
Offshore Wind,Coal,25017,61.72394515,
Offshore Wind,Coal,25021,104.9446638,
Offshore Wind,Coal,25023,0.3870059418,
Offshore Wind,Coal,25027,73.47557743,
Offshore Wind,Natural Gas,25001,38.34915584,
Offshore Wind,Natural Gas,25003,27.02711323,
Offshore Wind,Natural Gas,25007,111.2488967,
Offshore Wind,Natural Gas,25009,156.8169985,
Offshore Wind,Natural Gas,25013,225.9972413,
Offshore Wind,Natural Gas,25017,485.0429339,
Offshore Wind,Natural Gas,25021,824.6826655,
Offshore Wind,Natural Gas,25023,3.041194094,
Offshore Wind,Natural Gas,25027,577.3903395,
Offshore Wind,Petroleum,25001,0.9252613104,
Offshore Wind,Petroleum,25003,0.6520910737,
Offshore Wind,Petroleum,25007,2.684134701,
Offshore Wind,Petroleum,25009,3.783569635,
Offshore Wind,Petroleum,25013,5.452701607,
Offshore Wind,Petroleum,25017,11.70277287,
Offshore Wind,Petroleum,25021,19.89736011,
Offshore Wind,Petroleum,25023,0.07337578028,
Offshore Wind,Petroleum,25027,13.93086577,
Irrigation & Water Efficiency,Coal,25001,14.07860727,
Irrigation & Water Efficiency,Coal,25003,10.00517502,
Irrigation & Water Efficiency,Coal,25007,36.57091333,
Irrigation & Water Efficiency,Coal,25009,52.23596203,
Irrigation & Water Efficiency,Coal,25013,73.96230301,
Irrigation & Water Efficiency,Coal,25017,149.1078805,
Irrigation & Water Efficiency,Coal,25021,242.0008161,
Irrigation & Water Efficiency,Coal,25023,1.072941475,
Irrigation & Water Efficiency,Coal,25027,174.3987565,
Irrigation & Water Efficiency,Natural Gas,25001,110.6333848,
Irrigation & Water Efficiency,Natural Gas,25003,78.62328685,
Irrigation & Water Efficiency,Natural Gas,25007,287.3838193,
Irrigation & Water Efficiency,Natural Gas,25009,410.4838765,
Irrigation & Water Efficiency,Natural Gas,25013,581.2151567,
Irrigation & Water Efficiency,Natural Gas,25017,1171.728794,
Irrigation & Water Efficiency,Natural Gas,25021,1901.705822,
Irrigation & Water Efficiency,Natural Gas,25023,8.43145524,
Irrigation & Water Efficiency,Natural Gas,25027,1370.471125,
Irrigation & Water Efficiency,Petroleum,25001,2.669284065,
Irrigation & Water Efficiency,Petroleum,25003,1.896967061,
Irrigation & Water Efficiency,Petroleum,25007,6.933793545,
Irrigation & Water Efficiency,Petroleum,25009,9.903864666,
Irrigation & Water Efficiency,Petroleum,25013,14.02314825,
Irrigation & Water Efficiency,Petroleum,25017,28.27064367,
Irrigation & Water Efficiency,Petroleum,25021,45.88301313,
Irrigation & Water Efficiency,Petroleum,25023,0.2034281891,
Irrigation & Water Efficiency,Petroleum,25027,33.06575806,